TimeSeries ID,request_latencies.cloud_run_revision.ALIGN_DELTA.REDUCE_PERCENTILE_95.metric.type="run.googleapis.com/request_latencies" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization2" AND resource.labels."service_name"="ollama-gemma".project_id:llm-workload-characterization2.service_name:ollama-gemma
project_id,llm-workload-characterization2
service_name,ollama-gemma
Sun May 25 2025 20:48:00 GMT+0300 (GMT+03:00),323428.1497011153
Sun May 25 2025 20:49:00 GMT+0300 (GMT+03:00),323183.20003751665
Sun May 25 2025 20:50:00 GMT+0300 (GMT+03:00),322749.5984802903
Sun May 25 2025 20:51:00 GMT+0300 (GMT+03:00),322694.5930256022
Sun May 25 2025 20:52:00 GMT+0300 (GMT+03:00),322126.3003385421
Sun May 25 2025 20:53:00 GMT+0300 (GMT+03:00),323448.95624180016
Sun May 25 2025 20:54:00 GMT+0300 (GMT+03:00),322897.89750028285
Sun May 25 2025 20:55:00 GMT+0300 (GMT+03:00),322908.75778205
Sun May 25 2025 20:56:00 GMT+0300 (GMT+03:00),322610.51773659885
Sun May 25 2025 20:57:00 GMT+0300 (GMT+03:00),322970.2993787304
Sun May 25 2025 21:02:00 GMT+0300 (GMT+03:00),43044.39806994563
Sun May 25 2025 21:03:00 GMT+0300 (GMT+03:00),92697.3238382515
Sun May 25 2025 21:04:00 GMT+0300 (GMT+03:00),154997.43729215223
Sun May 25 2025 21:05:00 GMT+0300 (GMT+03:00),215885.28143605334
Sun May 25 2025 21:06:00 GMT+0300 (GMT+03:00),267527.9326767728
Sun May 25 2025 21:07:00 GMT+0300 (GMT+03:00),323337.22663440974
Sun May 25 2025 21:08:00 GMT+0300 (GMT+03:00),323462.63215217355
Sun May 25 2025 21:09:00 GMT+0300 (GMT+03:00),323279.9107104833
Sun May 25 2025 21:10:00 GMT+0300 (GMT+03:00),321296.36794902355
Sun May 25 2025 21:11:00 GMT+0300 (GMT+03:00),319523.9699646281
Sun May 25 2025 21:12:00 GMT+0300 (GMT+03:00),323262.73764265527
Sun May 25 2025 21:13:00 GMT+0300 (GMT+03:00),323462.63215217355
Sun May 25 2025 21:14:00 GMT+0300 (GMT+03:00),323397.35045845737
Sun May 25 2025 21:15:00 GMT+0300 (GMT+03:00),321907.89707814244
Sun May 25 2025 21:16:00 GMT+0300 (GMT+03:00),319852.1918135902
Sun May 25 2025 21:17:00 GMT+0300 (GMT+03:00),322988.87797395466
Sun May 25 2025 21:18:00 GMT+0300 (GMT+03:00),323462.63215217355
Sun May 25 2025 21:19:00 GMT+0300 (GMT+03:00),323436.6286606185
Sun May 25 2025 21:20:00 GMT+0300 (GMT+03:00),322902.3914099796
Sun May 25 2025 21:21:00 GMT+0300 (GMT+03:00),322388.45155557024
Sun May 25 2025 21:22:00 GMT+0300 (GMT+03:00),322266.9668452401
Sun May 25 2025 21:23:00 GMT+0300 (GMT+03:00),323453.49608008907
Sun May 25 2025 21:24:00 GMT+0300 (GMT+03:00),323454.9793111356
Sun May 25 2025 21:25:00 GMT+0300 (GMT+03:00),323011.32710985065
Sun May 25 2025 21:26:00 GMT+0300 (GMT+03:00),322499.3723780456
Sun May 25 2025 21:27:00 GMT+0300 (GMT+03:00),322435.1550597704
Sun May 25 2025 21:28:00 GMT+0300 (GMT+03:00),323446.87750342337
Sun May 25 2025 21:29:00 GMT+0300 (GMT+03:00),323462.63215217355
Sun May 25 2025 21:30:00 GMT+0300 (GMT+03:00),323290.31568146846
