TimeSeries ID,request_latencies.cloud_run_revision.ALIGN_DELTA.REDUCE_PERCENTILE_95.metric.type="run.googleapis.com/request_latencies" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization3" AND resource.labels."service_name"="ollama-llama".project_id:llm-workload-characterization3.service_name:ollama-llama
service_name,ollama-llama
project_id,llm-workload-characterization3
Sun May 25 2025 22:05:00 GMT+0300 (GMT+03:00),322618.6331119852
Sun May 25 2025 22:06:00 GMT+0300 (GMT+03:00),322498.06182052975
Sun May 25 2025 22:07:00 GMT+0300 (GMT+03:00),322463.4862295977
Sun May 25 2025 22:08:00 GMT+0300 (GMT+03:00),323460.0767917578
Sun May 25 2025 22:09:00 GMT+0300 (GMT+03:00),323452.5674276739
Sun May 25 2025 22:10:00 GMT+0300 (GMT+03:00),323096.89923475863
Sun May 25 2025 22:11:00 GMT+0300 (GMT+03:00),322682.3311527542
Sun May 25 2025 22:12:00 GMT+0300 (GMT+03:00),322858.4055665842
Sun May 25 2025 22:13:00 GMT+0300 (GMT+03:00),323444.4723367597
Sun May 25 2025 22:14:00 GMT+0300 (GMT+03:00),323462.63215217355
Sun May 25 2025 22:15:00 GMT+0300 (GMT+03:00),323371.86689226504
Sun May 25 2025 22:16:00 GMT+0300 (GMT+03:00),322535.8881080452
Sun May 25 2025 22:17:00 GMT+0300 (GMT+03:00),322431.5201172265
Sun May 25 2025 22:18:00 GMT+0300 (GMT+03:00),323435.06151686073
Sun May 25 2025 22:19:00 GMT+0300 (GMT+03:00),323462.63215217355
Sun May 25 2025 22:20:00 GMT+0300 (GMT+03:00),323421.4409639572
Sun May 25 2025 22:21:00 GMT+0300 (GMT+03:00),322998.43268007
Sun May 25 2025 22:22:00 GMT+0300 (GMT+03:00),323015.0569035889
Sun May 25 2025 22:23:00 GMT+0300 (GMT+03:00),323393.8114419073
Sun May 25 2025 22:24:00 GMT+0300 (GMT+03:00),323462.63215217355
Sun May 25 2025 22:25:00 GMT+0300 (GMT+03:00),323450.62403574813
Sun May 25 2025 22:26:00 GMT+0300 (GMT+03:00),323201.9853897625
Sun May 25 2025 22:27:00 GMT+0300 (GMT+03:00),322630.142189806
Sun May 25 2025 22:28:00 GMT+0300 (GMT+03:00),323326.90798219736
Sun May 25 2025 22:29:00 GMT+0300 (GMT+03:00),323460.2951295148
Sun May 25 2025 22:30:00 GMT+0300 (GMT+03:00),323456.1255516435
Sun May 25 2025 22:31:00 GMT+0300 (GMT+03:00),323247.23656379216
Sun May 25 2025 22:32:00 GMT+0300 (GMT+03:00),323121.78638594365
Sun May 25 2025 22:37:00 GMT+0300 (GMT+03:00),52647.22406286054
Sun May 25 2025 22:38:00 GMT+0300 (GMT+03:00),107677.21137051293
Sun May 25 2025 22:39:00 GMT+0300 (GMT+03:00),166240.12019272402
Sun May 25 2025 22:40:00 GMT+0300 (GMT+03:00),221285.38055938508
Sun May 25 2025 22:41:00 GMT+0300 (GMT+03:00),290412.3970102537
Sun May 25 2025 22:42:00 GMT+0300 (GMT+03:00),323434.09112182906
Sun May 25 2025 22:43:00 GMT+0300 (GMT+03:00),323362.73854596773
Sun May 25 2025 22:44:00 GMT+0300 (GMT+03:00),321724.9870694329
Sun May 25 2025 22:45:00 GMT+0300 (GMT+03:00),320565.4431392194
Sun May 25 2025 22:46:00 GMT+0300 (GMT+03:00),318597.2259204997
Sun May 25 2025 22:47:00 GMT+0300 (GMT+03:00),323422.7132786512
Sun May 25 2025 22:48:00 GMT+0300 (GMT+03:00),323437.89773054124
