TimeSeries ID,container/gpu/utilizations.cloud_run_revision.ALIGN_SUM.REDUCE_PERCENTILE_50.metric.type="run.googleapis.com/container/gpu/utilizations" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization" AND resource.labels."service_name"="ollama-gemma".project_id:llm-workload-characterization.container_name:ollama-gemma-1.gpu_number:0
container_name,ollama-gemma-1
gpu_number,0
project_id,llm-workload-characterization
Fri May 23 2025 17:38:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 17:39:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 17:40:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 17:41:00 GMT+0300 (GMT+03:00),0.8025
Fri May 23 2025 17:42:00 GMT+0300 (GMT+03:00),0.745
Fri May 23 2025 17:43:00 GMT+0300 (GMT+03:00),0.725
Fri May 23 2025 17:44:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 17:45:00 GMT+0300 (GMT+03:00),0.735
Fri May 23 2025 17:46:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 17:47:00 GMT+0300 (GMT+03:00),0.7825
Fri May 23 2025 17:48:00 GMT+0300 (GMT+03:00),0.715
Fri May 23 2025 17:49:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 17:50:00 GMT+0300 (GMT+03:00),0.795
Fri May 23 2025 17:51:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 17:52:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 17:53:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 17:54:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 17:55:00 GMT+0300 (GMT+03:00),0.7575000000000001
Fri May 23 2025 17:56:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 17:57:00 GMT+0300 (GMT+03:00),0.745
Fri May 23 2025 17:58:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 17:59:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 18:00:00 GMT+0300 (GMT+03:00),0.7875000000000001
Fri May 23 2025 18:01:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:02:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 18:03:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 18:04:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 18:05:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 18:06:00 GMT+0300 (GMT+03:00),0.7775000000000001
Fri May 23 2025 18:07:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 18:08:00 GMT+0300 (GMT+03:00),0.0075
Fri May 23 2025 18:09:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 18:10:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 18:11:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 18:12:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 18:13:00 GMT+0300 (GMT+03:00),0.0075
Fri May 23 2025 18:14:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:15:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 18:16:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 18:17:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 18:18:00 GMT+0300 (GMT+03:00),0.735
Fri May 23 2025 18:19:00 GMT+0300 (GMT+03:00),0.7775000000000001
Fri May 23 2025 18:20:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 18:21:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 18:22:00 GMT+0300 (GMT+03:00),0.795
Fri May 23 2025 18:23:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:24:00 GMT+0300 (GMT+03:00),0.7625
Fri May 23 2025 18:25:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 18:26:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 18:27:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 18:28:00 GMT+0300 (GMT+03:00),0.7625
Fri May 23 2025 18:29:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:30:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 18:31:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 18:32:00 GMT+0300 (GMT+03:00),0.7575000000000001
Fri May 23 2025 18:33:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:34:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:35:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 18:36:00 GMT+0300 (GMT+03:00),0.745
Fri May 23 2025 18:37:00 GMT+0300 (GMT+03:00),0.7525
Fri May 23 2025 18:38:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:39:00 GMT+0300 (GMT+03:00),0.7925
Fri May 23 2025 18:40:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:41:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 18:42:00 GMT+0300 (GMT+03:00),0.7925
Fri May 23 2025 18:43:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:44:00 GMT+0300 (GMT+03:00),0.745
Fri May 23 2025 18:45:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 18:46:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 18:47:00 GMT+0300 (GMT+03:00),0.775
