TimeSeries ID,request_latencies.cloud_run_revision.ALIGN_DELTA.REDUCE_PERCENTILE_95.metric.type="run.googleapis.com/request_latencies" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization" AND resource.labels."service_name"="ollama-gemma".project_id:llm-workload-characterization.service_name:ollama-gemma
service_name,ollama-gemma
project_id,llm-workload-characterization
Fri May 23 2025 16:15:00 GMT+0300 (GMT+03:00),159924.00620363877
Fri May 23 2025 16:16:00 GMT+0300 (GMT+03:00),224157.5211920143
Fri May 23 2025 16:17:00 GMT+0300 (GMT+03:00),282643.7694812475
Fri May 23 2025 16:18:00 GMT+0300 (GMT+03:00),323443.21924982534
Fri May 23 2025 16:19:00 GMT+0300 (GMT+03:00),321657.4119828819
Fri May 23 2025 16:20:00 GMT+0300 (GMT+03:00),318736.237527119
Fri May 23 2025 16:21:00 GMT+0300 (GMT+03:00),319031.6371911849
Fri May 23 2025 16:22:00 GMT+0300 (GMT+03:00),321165.0792094387
Fri May 23 2025 16:23:00 GMT+0300 (GMT+03:00),323453.84049550496
Fri May 23 2025 16:24:00 GMT+0300 (GMT+03:00),323343.79320685973
Fri May 23 2025 16:25:00 GMT+0300 (GMT+03:00),321329.19013391976
Fri May 23 2025 16:26:00 GMT+0300 (GMT+03:00),317923.8884509377
Fri May 23 2025 16:27:00 GMT+0300 (GMT+03:00),320693.2603015556
Fri May 23 2025 16:28:00 GMT+0300 (GMT+03:00),323445.6551599859
Fri May 23 2025 16:29:00 GMT+0300 (GMT+03:00),323409.8822121618
Fri May 23 2025 16:30:00 GMT+0300 (GMT+03:00),321837.93399981107
Fri May 23 2025 16:31:00 GMT+0300 (GMT+03:00),321448.54353354237
Fri May 23 2025 16:32:00 GMT+0300 (GMT+03:00),320877.88509159687
Fri May 23 2025 16:33:00 GMT+0300 (GMT+03:00),323436.9898202234
Fri May 23 2025 16:34:00 GMT+0300 (GMT+03:00),323449.59981405304
Fri May 23 2025 16:35:00 GMT+0300 (GMT+03:00),323028.2208814884
Fri May 23 2025 16:36:00 GMT+0300 (GMT+03:00),321985.633831844
Fri May 23 2025 16:37:00 GMT+0300 (GMT+03:00),322724.1329920088
Fri May 23 2025 16:38:00 GMT+0300 (GMT+03:00),323447.81277103315
Fri May 23 2025 16:39:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 16:40:00 GMT+0300 (GMT+03:00),322970.2993787304
Fri May 23 2025 16:41:00 GMT+0300 (GMT+03:00),322680.6918649403
Fri May 23 2025 16:42:00 GMT+0300 (GMT+03:00),322680.6918649403
Fri May 23 2025 16:43:00 GMT+0300 (GMT+03:00),323216.46576545195
Fri May 23 2025 16:44:00 GMT+0300 (GMT+03:00),323460.89246039465
Fri May 23 2025 16:45:00 GMT+0300 (GMT+03:00),323157.04629279504
Fri May 23 2025 16:46:00 GMT+0300 (GMT+03:00),323052.35484097095
Fri May 23 2025 16:47:00 GMT+0300 (GMT+03:00),323278.00736213237
Fri May 23 2025 16:48:00 GMT+0300 (GMT+03:00),323278.00736213237
Fri May 23 2025 16:53:00 GMT+0300 (GMT+03:00),39282.47371986748
Fri May 23 2025 16:54:00 GMT+0300 (GMT+03:00),93909.51961152094
Fri May 23 2025 16:55:00 GMT+0300 (GMT+03:00),153860.5367741169
Fri May 23 2025 16:56:00 GMT+0300 (GMT+03:00),201761.94526733953
Fri May 23 2025 16:57:00 GMT+0300 (GMT+03:00),271230.60064233735
Fri May 23 2025 16:58:00 GMT+0300 (GMT+03:00),323411.1089549528
Fri May 23 2025 16:59:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 17:00:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 17:01:00 GMT+0300 (GMT+03:00),323085.52619804686
Fri May 23 2025 17:02:00 GMT+0300 (GMT+03:00),317923.8884509377
Fri May 23 2025 17:03:00 GMT+0300 (GMT+03:00),323364.7587695011
