timestamp,Max_concurrent_requests_p50
Sun May 25 2025 21:35:00 GMT+0300 (GMT+03:00),87.5
Sun May 25 2025 21:36:00 GMT+0300 (GMT+03:00),13.0
Sun May 25 2025 21:37:00 GMT+0300 (GMT+03:00),4.25
Sun May 25 2025 21:38:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 21:39:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 21:40:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 21:41:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 21:42:00 GMT+0300 (GMT+03:00),117.5
Sun May 25 2025 21:43:00 GMT+0300 (GMT+03:00),205.0
Sun May 25 2025 21:44:00 GMT+0300 (GMT+03:00),203.75
Sun May 25 2025 21:45:00 GMT+0300 (GMT+03:00),202.5
Sun May 25 2025 21:46:00 GMT+0300 (GMT+03:00),205.83333333333331
Sun May 25 2025 21:47:00 GMT+0300 (GMT+03:00),202.5
Sun May 25 2025 21:48:00 GMT+0300 (GMT+03:00),206.25
Sun May 25 2025 21:49:00 GMT+0300 (GMT+03:00),207.5
Sun May 25 2025 21:50:00 GMT+0300 (GMT+03:00),206.25
Sun May 25 2025 21:51:00 GMT+0300 (GMT+03:00),206.25
Sun May 25 2025 21:52:00 GMT+0300 (GMT+03:00),202.5
Sun May 25 2025 21:53:00 GMT+0300 (GMT+03:00),202.5
Sun May 25 2025 21:54:00 GMT+0300 (GMT+03:00),202.5
Sun May 25 2025 21:55:00 GMT+0300 (GMT+03:00),202.5
Sun May 25 2025 21:56:00 GMT+0300 (GMT+03:00),202.5
Sun May 25 2025 21:57:00 GMT+0300 (GMT+03:00),202.5
Sun May 25 2025 21:58:00 GMT+0300 (GMT+03:00),211.25
Sun May 25 2025 21:59:00 GMT+0300 (GMT+03:00),202.5
Sun May 25 2025 22:00:00 GMT+0300 (GMT+03:00),206.25
Sun May 25 2025 22:01:00 GMT+0300 (GMT+03:00),202.5
Sun May 25 2025 22:02:00 GMT+0300 (GMT+03:00),202.5
Sun May 25 2025 22:03:00 GMT+0300 (GMT+03:00),206.25
Sun May 25 2025 22:04:00 GMT+0300 (GMT+03:00),206.25
Sun May 25 2025 22:05:00 GMT+0300 (GMT+03:00),206.25
Sun May 25 2025 22:06:00 GMT+0300 (GMT+03:00),205.83333333333331
Sun May 25 2025 22:07:00 GMT+0300 (GMT+03:00),206.25
Sun May 25 2025 22:08:00 GMT+0300 (GMT+03:00),211.25
Sun May 25 2025 22:09:00 GMT+0300 (GMT+03:00),197.5
Sun May 25 2025 22:10:00 GMT+0300 (GMT+03:00),190.0
Sun May 25 2025 22:11:00 GMT+0300 (GMT+03:00),197.5
Sun May 25 2025 22:12:00 GMT+0300 (GMT+03:00),202.5
Sun May 25 2025 22:13:00 GMT+0300 (GMT+03:00),197.5
Sun May 25 2025 22:14:00 GMT+0300 (GMT+03:00),55.0
Sun May 25 2025 22:15:00 GMT+0300 (GMT+03:00),29.0
Sun May 25 2025 22:16:00 GMT+0300 (GMT+03:00),19.5
Sun May 25 2025 22:17:00 GMT+0300 (GMT+03:00),8.75
Sun May 25 2025 22:18:00 GMT+0300 (GMT+03:00),0.625
Sun May 25 2025 22:19:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 22:20:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 22:21:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 22:22:00 GMT+0300 (GMT+03:00),0.8333333333333334
Sun May 25 2025 22:23:00 GMT+0300 (GMT+03:00),131.25
Sun May 25 2025 22:24:00 GMT+0300 (GMT+03:00),242.5
Sun May 25 2025 22:25:00 GMT+0300 (GMT+03:00),302.5
Sun May 25 2025 22:26:00 GMT+0300 (GMT+03:00),297.5
Sun May 25 2025 22:27:00 GMT+0300 (GMT+03:00),297.5
